id,candidate,sentiment,subject_matter,original_text,processed_text,text_length,word_count,hashtag_count,mention_count,contains_url,is_retweet
2800,No candidate mentioned,Negative,None of the above,RT @bourgeoisalien: When are they going to have the swimsuit competition? #GOPDebate,going swimsuit competition,84,12,1,1,0,1
1236,No candidate mentioned,Negative,None of the above,Can we stop making sweeping statements about other candidates policies. There are no absolutes #GOPDebate,stop making sweeping statement candidate policy absolute,105,15,1,0,0,0
12506,No candidate mentioned,Negative,Foreign Policy,Ignore the fact that our Allies negotiated the Iran deal with us. Why not just bomb them?  #GOPDebates,ignore fact ally negotiated iran deal bomb,102,18,1,0,0,0
7433,Donald Trump,Negative,None of the above,"The fact that people are saying @realDonaldTrump ""won"" the first ""#GOPDebate"" speaks volumes for the GOP's chances in 2016.",fact people saying first speaks volume gop chance,123,19,1,1,0,0
6768,Donald Trump,Negative,FOX News or Moderators,#FOX slurped so hard on #GOP establishments slurpy they got brain freeze. #AVN has offered #MegynKelly an award @realDonaldTrump #GOPdebate,slurped hard establishment slurpy got brain freeze offered award,139,20,5,1,0,0
13424,No candidate mentioned,Negative,Jobs and Economy,None of these candidates seem to realize the IRS doesn't make the tax laws. They just collect the money. #GOPDebates,none candidate seem realize irs doesnt make tax law collect money,116,20,1,0,0,0
11510,Ted Cruz,Negative,FOX News or Moderators,@DebsSay @FoxNews @Ted I noticed too! #GOPDebate  #GOPDebates they keep starting with Bush GRR,noticed keep staing bush grr,94,14,2,3,0,0
7191,Donald Trump,Negative,Women's Issues (not abortion though),Watching @megynkelly ask Trump about the sexist stuff again and that couldn't have been easy. While the crowd roars its misogyny. #GOPDebate,watching ask trump sexist stuff couldnt easy crowd roar misogyny,140,22,1,1,0,0
12616,No candidate mentioned,Negative,FOX News or Moderators,RT @RWSurferGirl: Fox News is obviously trying to influence the makeup of the Republican field. 🇺🇸  #GOPDebate  #GOPDebates,fox news obviously trying influence makeup republican field,123,18,2,1,0,1
6219,No candidate mentioned,Negative,FOX News or Moderators,@kilmeade boy I thought I could #tunein 2Brian 4 fair analysis  fair debate ??we have a country facing hard times #KellyFailed  #GOPDebate,boy thought could brian fair analysis fair debate country facing hard time,138,22,3,1,0,0
9781,No candidate mentioned,Negative,FOX News or Moderators,"RT @RWSurferGirl: It is very disappointing that Fox News is not conducting a ""Fair &amp; Balanced"" Debate. 🇺🇸 #GOPDebate  #GOPDebates",disappointing fox news conducting fair amp balanced debate,133,20,2,1,0,1
8942,Donald Trump,Negative,Women's Issues (not abortion though),RT @Chic4USA: Aaaand #megynfail brings in DNC chair to take down Trump thru women's rights. My gender once again used as fear tool. Ugh #GO…,aaaand brings dnc chair take trump thru womens right gender used fear tool ugh,140,25,2,1,0,1
11062,No candidate mentioned,Negative,FOX News or Moderators,RT @SupermanHotMale: These fox news debates are no more than comedy at the laugh store... it's all for fun. #GopDebates,fox news debate comedy laugh store fun,119,20,1,1,0,1
4128,No candidate mentioned,Negative,Women's Issues (not abortion though),"RT @MsLabuski: #Toughchoices for today's conservative woman: am I a fat pig, an incubator, or just irrelevant? #GOPDebate #GOPmisogyny #bri…",today conservative woman fat pig incubator irrelevant,140,20,4,1,0,1
2415,No candidate mentioned,Negative,FOX News or Moderators,RT @kc5lei: My opinion of #MeganKelly has really plumbed during #GOPDebate - I expected her to be a neutral moderator. I was dissappointed.,opinion really plumbed expected neutral moderator dissappointed,139,23,2,1,0,1
12652,No candidate mentioned,Negative,None of the above,"RT @MarkDavis: #Perry, #Fiorina clips on #IranDeal are better than most answers being given in this debate #GOPDebates",clip better answer given debate,118,18,4,1,0,1
7079,No candidate mentioned,Negative,None of the above,The closed captioning for the #GOPDebate was the best part http://t.co/D0ndRMOa91 http://t.co/8JZ2U7VT5O,closed captioning best,104,12,1,0,1,0
1562,No candidate mentioned,Negative,None of the above,Conservatives CANT POSSIBLY Support a Candidate that DONATED TO HILLARY- EVER-this is ASININE #tcot #ccot #GOPDebate #RedNationRising #PJNET,conservative cant possibly suppo candidate donated hillary everthis asinine,140,18,5,0,0,0
6241,No candidate mentioned,Negative,None of the above,"you can't fucking leave the school curriculum to be decided by the states, the south will abolish biology lmfao #GOPDebate",cant fucking leave school curriculum decided state south abolish biology lmfao,122,20,1,0,0,0
9451,Jeb Bush,Negative,None of the above,"RT @SupermanHotMale: I lived here in Florida for 8 years under Jeb w bush and I swear, no more... #GopDebates",lived florida year jeb bush swear,109,20,1,1,0,1
5230,No candidate mentioned,Negative,None of the above,"RT @PaulProvenza: ""To honor the people that died"".You mean the ones your brother sent there with a lie? Just wanna be sure those are the sa…",honor people diedyou mean one brother sent lie wan sure sa…,140,26,0,1,0,1
10709,Ted Cruz,Negative,None of the above,"No one cares about your daddy issues, Cruz #GOPDebates",one care daddy issue cruz,54,9,1,0,0,0
3017,Marco Rubio,Negative,None of the above,RT @JohnGGalt: Marco Rubio is like a little boy compared to the others—talks an extra sentence after bell shows his balls have yet to drop!…,marco rubio like little boy compared others—talks extra sentence bell show ball yet drop…,140,25,0,1,0,1
1811,No candidate mentioned,Negative,None of the above,#WishfulThinking! #GOPDebate showed quite plainly how NOT prepared any of those men (+1 woman) are 2 lead nation. https://t.co/VemeQVlmvI,showed quite plainly prepared men woman lead nation,137,19,2,0,1,0
4926,No candidate mentioned,Negative,None of the above,"@ltmd11 yes! Watching both #GOPDebate with you was def fun.. #GOP has a deep field, but have to start cutting down on number of candidates..",yes watching def fun deep field sta cutting number candidate,140,25,2,1,0,0
8649,No candidate mentioned,Negative,FOX News or Moderators,"RT @RWSurferGirl: It is very disappointing that Fox News is not conducting a ""Fair &amp; Balanced"" Debate. 🇺🇸 #GOPDebate  #GOPDebates",disappointing fox news conducting fair amp balanced debate,133,20,2,1,0,1
13093,No candidate mentioned,Negative,FOX News or Moderators,"Some of these guys are nailing it, unfortunately @megynkelly put herself at the center of tomorrow's headlines. Pathetic. #GOPDebates",guy nailing unfounately put center tomorrow headline pathetic,133,19,1,1,0,0
4323,No candidate mentioned,Negative,FOX News or Moderators,RT @danamlancaster: Big fail last night for the digital arm of @FoxNews. http://t.co/k2c6axrECL #GOPDebate,big fail last night digital arm,106,14,1,2,1,1
11885,Donald Trump,Negative,FOX News or Moderators,RT @RWSurferGirl: The candidates don't have to attack @realDonaldTrump Fox is doing it for them by stoping him from speaking. 🇺🇸 #GOPDebate…,candidate dont attack fox stoping speaking,140,22,1,2,0,1
5282,No candidate mentioned,Negative,None of the above,The clear winner of the #GOPDebate is anyone who didn't watch it.,clear winner anyone didnt watch,65,12,1,0,0,0
55,No candidate mentioned,Negative,FOX News or Moderators,"RT @ChuckNellis: I won't defend @FoxNews, they were FAR from fair OR balanced last night, but name calling is juvenile. #GOPDebate",wont defend far fair balanced last night name calling juvenile,130,21,1,2,0,1
8899,No candidate mentioned,Negative,FOX News or Moderators,RT @RWSurferGirl: We the American people pick the next President of United States not FOX News 🇺🇸 #GOPDebate  #GOPDebates,american people pick next president united state fox news,121,19,2,1,0,1
10309,Scott Walker,Negative,Religion,RT @NateMJensen: Walker: God is cutting the UW budget. Talk to him. #GOPdebates,walker god cutting budget talk,79,13,1,1,0,1
3304,No candidate mentioned,Negative,None of the above,RT @JoshuaACNewman: I notice the #GOPDebate is at an hour when anyone with a job can’t see the trial-by-feces event take place. Only the re…,notice hour anyone job see trialbyfeces event take place re…,140,25,1,1,0,1
11714,No candidate mentioned,Negative,Gun Control,Hmm which chapter in the bible says we should all have guns? #GOPDebates,hmm chapter bible say gun,72,13,1,0,0,0
11548,Jeb Bush,Negative,FOX News or Moderators,"RT @PuestoLoco: .@dccc @PPFA
Cancel the primaries. Fox Party set up &amp; anointed their man Jeb Bush
#GOPDebates #CantTrustABush http://t.co/b…",cancel primary fox pay set amp anointed man jeb bush,144,20,2,3,1,1
11662,Jeb Bush,Negative,FOX News or Moderators,RT @RWSurferGirl: Fox is cherry picking the candidates. Jeb gets the softball questions. 🇺🇸 #GOPDebates  #GOPDebates,fox cherry picking candidate jeb get softball question,116,16,2,1,0,1
13455,Jeb Bush,Negative,None of the above,Bush says Obama didn't fix his brothers mess well enough.  #GOPDebates,bush say obama didnt fix brother mess well enough,70,11,1,0,0,0
30,No candidate mentioned,Negative,None of the above,RT @HillaryClinton: Watch the #GOPdebate? Bet you feel like donating to a Democrat right about now. http://t.co/pGlQCqQgOP http://t.co/QP1e…,watch bet feel like donating democrat right,140,18,1,1,1,1
12097,Donald Trump,Negative,FOX News or Moderators,RT @RWSurferGirl: The candidates don't have to attack @realDonaldTrump Fox is doing it for them by stoping him from speaking. 🇺🇸 #GOPDebate…,candidate dont attack fox stoping speaking,140,22,1,2,0,1
818,No candidate mentioned,Negative,Abortion,"""Would you really let a mother die, rather than have an abortion?""

Was seriously being asked of a presidential hopeful in 2015. #GOPdebate",would really let mother die rather aboion seriously asked presidential hopeful,139,23,1,0,0,0
1481,No candidate mentioned,Negative,None of the above,RT @MattyIceAZ: Somewhere Hillary is laughing. #GOPDebate,somewhere hillary laughing,57,7,1,1,0,1
12452,No candidate mentioned,Negative,FOX News or Moderators,RT @RWSurferGirl: Fox News is obviously trying to influence the makeup of the Republican field. 🇺🇸  #GOPDebate  #GOPDebates,fox news obviously trying influence makeup republican field,123,18,2,1,0,1
3347,No candidate mentioned,Negative,None of the above,RT @JohnFugelsang: These low-polling candidates are the only 1 percenters the GOP doesn't love. #gopdebate,lowpolling candidate percenters gop doesnt love,106,15,1,1,0,1
5662,Chris Christie,Negative,Jobs and Economy,RT @TheBaxterBean: N.J. Credit Rating Was Downgraded Record 9 Times Under Chris Christie's Leadership http://t.co/tcE2dNEUcy #GOPDebate htt…,credit rating downgraded record time chris christie leadership htt…,140,17,1,1,1,1
3154,No candidate mentioned,Negative,Racial issues,"RT @joeltena: #GOPDebate #RealLifeInTheUSA RT @JuanG_Arango: When white people say ""Homeland"" ... I get REALLY scared.",white people say homeland get really scared,118,16,2,2,0,1
3262,No candidate mentioned,Negative,None of the above,@Pedinska Absolutely. Sane Twitter was *MOST* entertaining last nite. Moar #GOPDebate please! @Terry5135,absolutely sane twitter enteaining last nite moar please,104,13,1,2,0,0
1298,No candidate mentioned,Negative,None of the above,#DeathByDemocrat   Anything goes. No morals. No values. No respect for others. Jerked up by the ears. #GOPDebate,anything go moral value respect others jerked ear,112,17,2,0,0,0
6531,No candidate mentioned,Negative,None of the above,These crazy republicans losers diss Hillary Clinton like every two minutes lmaooooooooo #GOPDebate,crazy republican loser dis hillary clinton like every two minute lmaooooooooo,98,13,1,0,0,0
9432,No candidate mentioned,Negative,None of the above,RT @MichaelDinoff: #GOPDebates #ClownCircus Its always a Circus with these clowns!! http://t.co/89wRJDv1dl,always circus clown,106,12,2,1,1,1
10248,Chris Christie,Negative,None of the above,Fix New Jersey first @ChrisChristie #GOPDebates,fix new jersey first,47,6,1,1,0,0
12494,No candidate mentioned,Negative,None of the above,RT @SupermanHotMale: Pres Obama has more brains in his little toe than all you totally fucking idiots have in your whole families combined …,pres obama brain little toe totally fucking idiot whole family combined,140,24,0,1,0,1
11847,Ben Carson,Negative,Women's Issues (not abortion though),Will Ben Carson get the same-sex marriage question? #GOPDebates,ben carson get samesex marriage question,63,9,1,0,0,0
10127,No candidate mentioned,Negative,Religion,RT @annleary: When did it become acceptable to have God be a topic in political debates in this country?  #GOPDebates #shameful,become acceptable god topic political debate country,127,21,2,1,0,1
6138,Donald Trump,Negative,None of the above,Preview of Donald Trump tonight at the #GOPDebate (Vine by @CaseyBake16) https://t.co/qIIm2gOiBI,preview donald trump tonight vine,96,12,1,1,1,0
9682,No candidate mentioned,Negative,None of the above,You would do well to study the lamestream media's interpretation of the #GOPDebates tomorrow morn &amp; throughout the days.,would well study lamestream medias interpretation tomorrow morn amp throughout day,124,19,1,0,0,0
8096,Donald Trump,Negative,FOX News or Moderators,RT @RWSurferGirl: The candidates don't have to attack @realDonaldTrump Fox is doing it for them by stoping him from speaking. 🇺🇸 #GOPDebate…,candidate dont attack fox stoping speaking,140,22,1,2,0,1
2259,No candidate mentioned,Negative,None of the above,"RT @wendyhagen: Also, candidates wear shock collars &amp; if they mention @HillaryClinton or @BarackObama - shocked. Somebody put me in charge …",also candidate wear shock collar amp mention shocked somebody put charge,144,22,0,3,0,1
11043,Mike Huckabee,Negative,Women's Issues (not abortion though),"RT @jsn2007: ""The military is not a social experiment."" @GovMikeHuckabee Does that include women too? You have no idea. #gopdebates",military social experiment include woman idea,131,20,1,2,0,1
9652,No candidate mentioned,Negative,None of the above,RT @RWSurferGirl: I need to order another green apple martini to process what the hell just happened. 🇺🇸 #GOPDebate  #GOPDebates,need order another green apple maini process hell happened,128,20,2,1,0,1
4181,No candidate mentioned,Negative,None of the above,"Kept thinking when #GOP Governors in the #GOPDebate talk about their 'accomplishments', yeah but u FAILED and are unpopular 4 it @bellobass",kept thinking governor talk accomplishment yeah failed unpopular,139,22,2,1,0,0
4549,No candidate mentioned,Negative,None of the above,TKO. You keep using this word. I do not think it means what you think it means. #GOPDebate,tko keep using word think mean think mean,90,18,1,0,0,0
1652,No candidate mentioned,Negative,Religion,Basically #GOPDebate http://t.co/znxkpFq6y7,basically,43,3,1,0,1,0
363,Scott Walker,Negative,FOX News or Moderators,@megynkelly Your Fox team talked for 31 minutes of #GOPDebate while Walker talked for 5. Your obvious goal was to ambush everyone. Pathetic.,fox team talked minute walker talked obvious goal ambush everyone pathetic,140,23,1,1,0,0
13408,Jeb Bush,Negative,Healthcare (including Medicare),"Hey Jeb Bush, you have nothing to replace ObamaCare with and you give us a break, you fu***ng Asshole. #GopDebates",hey jeb bush nothing replace obamacare give break fung asshole,114,20,1,0,0,0
10201,Ben Carson,Negative,None of the above,"I can't help but think Dr. Carson has been hoping his ""Gifted Hands"" can make a way for his flailing mouth. #GOPDebates",cant help think carson hoping gifted hand make way flailing mouth,119,22,1,0,0,0
8626,No candidate mentioned,Negative,None of the above,"RT @BettyFckinWhite: So many great jokes on Twitter tonight about the #GOPDebates, but not as many as there were on stage.",many great joke twitter tonight many stage,122,21,1,1,0,1
5004,No candidate mentioned,Negative,None of the above,"Keep focusing on shit like the #GOPDebate you dumbfucks, the 4th wave of Fascism isn't for you basic bitches anyway.",keep focusing shit like dumbfucks wave fascism isnt basic bitch anyway,116,20,1,0,0,0
12350,No candidate mentioned,Negative,None of the above,Remember when #obama did a good job? Hahah I don't  #GOPDebates,remember good job hahah dont,63,11,2,0,0,0
7816,Donald Trump,Negative,None of the above,"Oh, so vetting a candidate is now ""BS"" if the candidate is #Trump? This is what primaries are for. @Dolly0811 @sandykjack #GOPDebate #tcot",vetting candidate candidate primary,138,23,3,2,0,0
9057,Donald Trump,Negative,FOX News or Moderators,RT @RWSurferGirl: I'm really really really pissed off at FOX News for what they did to @realDonaldTrump #GOPDebate  #GOPDebates 🇺🇸,really really really pissed fox news,130,20,2,2,0,1
12202,No candidate mentioned,Negative,Abortion,#PlannedParenthood should be funded in Florida - because Floridians... #GOPDebates,funded florida floridian,82,10,2,0,0,0
9217,No candidate mentioned,Negative,FOX News or Moderators,RT @RWSurferGirl: We the American people pick the next President of United States not FOX News 🇺🇸 #GOPDebate  #GOPDebates,american people pick next president united state fox news,121,19,2,1,0,1
13478,Chris Christie,Negative,None of the above,RT @RWSurferGirl: Breaking: Brian Williams just handed Chris Christie a donut to calm him down. 🇺🇸 #GOPDebate #GOPDebates,breaking brian williams handed chris christie donut calm,121,18,2,1,0,1
11393,No candidate mentioned,Negative,Abortion,RT @_KingMalcolm: I am pro life unless a cop is involved - GOP candidates #GOPDebates,pro life unless cop involved gop candidate,85,15,1,1,0,1
5008,Donald Trump,Negative,None of the above,"#Trumps having a bad hair day... Again.
#GOPDebate @RandPaul @RealBenCarson  https://t.co/LtJmBXc1C8",bad hair day,100,11,2,2,1,0
12344,Donald Trump,Negative,None of the above,How about we have them give the rest of the candidates Taboo Buzzers to use when Trump speaks?! LOL #GOPDebates,give rest candidate taboo buzzer use trump speaks lol,111,20,1,0,0,0
11348,Jeb Bush,Negative,None of the above,"RT @Mariacka: Newsflash, JEB - You won't unite the country with #CommonCore. Please!  LOL! #GOPDebates",newsflash jeb wont unite country please lol,102,15,2,1,0,1
12433,No candidate mentioned,Negative,FOX News or Moderators,RT @RWSurferGirl: Fox News is obviously trying to influence the makeup of the Republican field. 🇺🇸  #GOPDebate  #GOPDebates,fox news obviously trying influence makeup republican field,123,18,2,1,0,1
564,No candidate mentioned,Negative,Abortion,"So, it's official; the GOP 2016 Platform is less abortion, more war. That's it. That's what they are after. #GOPDebate #Priorities",official gop platform less aboion war thats thats,130,21,2,0,0,0
7774,No candidate mentioned,Negative,FOX News or Moderators,"RT @lifeisageless: Biggest loser of #GOPDebate is , wait for it.....  @megynkelly",biggest loser wait,81,12,1,2,0,1
8803,No candidate mentioned,Negative,FOX News or Moderators,RT @RWSurferGirl: We the American people pick the next President of United States not FOX News 🇺🇸 #GOPDebate  #GOPDebates,american people pick next president united state fox news,121,19,2,1,0,1
8425,No candidate mentioned,Negative,Foreign Policy,RT @PamelaGeller: Jim Gilmore is clueless on #ISIS. It's not a state? They already rule an area larger than the United Kingdom.  #GOPdebates,jim gilmore clueless state already rule area larger united kingdom,140,23,2,1,0,1
6896,Donald Trump,Negative,Women's Issues (not abortion though),"RT @alison_rambles: For once @voxdotcom you're spot on about @realDonaldTrump.

#GOPDebate #FOXNEWSDEBATE 
 http://t.co/ig0r1LaSko http://t…",youre spot,140,14,2,3,1,1
3255,No candidate mentioned,Negative,None of the above,RT @aLocalGyro: Very worried about America right now. #GOPDebate,worried america right,64,9,1,1,0,1
6933,Jeb Bush,Negative,FOX News or Moderators,Very obvious last night that @FoxNews wants Bush to win. Gave him softballs all night long. #NoCredibility #GOPDebate,obvious last night want bush win gave softball night long,117,18,2,1,0,0
10880,No candidate mentioned,Negative,None of the above,Hurry #GOPDebates! Watching #BigBrother in 13 minutes!,hurry watching minute,54,7,2,0,0,0
13051,Mike Huckabee,Negative,None of the above,RT @YoungGOPGums: Did Huck just say he wants to protect the SS benefits of pimps and prostitutes? #GOPdebates.,huck say want protect benefit pimp prostitute,110,18,1,1,0,1
11160,No candidate mentioned,Negative,FOX News or Moderators,RT @RWSurferGirl: Fox News is obviously trying to influence the makeup of the Republican field. 🇺🇸  #GOPDebate  #GOPDebates,fox news obviously trying influence makeup republican field,123,18,2,1,0,1
1677,Rand Paul,Negative,None of the above,RT @frankthorpNBC: So this Vine of @RandPaul's eye roll to Chris Christie at the #GOPDebate last night has 4 MILLION loops: https://t.co/hf…,vine eye roll chris christie last night million loop,140,22,1,2,1,1
12813,Donald Trump,Negative,None of the above,"RT @msgoddessrises: ""I have never gone bankrupt"" WTF???? ""Read My Lips! #GOPDebates #Trump",never gone bankrupt wtf read lip,90,13,2,1,0,1
1673,No candidate mentioned,Negative,None of the above,Just caught highlights of the #GOPDebate and it's super depressing because only 1 of them can be president in 2016 :/,caught highlight super depressing president,117,21,1,0,0,0
4032,No candidate mentioned,Negative,None of the above,RT @ZoeWentzel: The #GOPDebate got me like... #Hillary2016 http://t.co/zNulwsRGyh,got like,81,9,2,1,1,1
4034,Donald Trump,Negative,FOX News or Moderators,".@realDonaldTrump Aww, does him have a sad because he thinks the Fox News reporter was mean during the debate? #GOPDebate #DonaldTrump",aww sad think fox news repoer mean debate,134,21,2,1,0,0
8424,No candidate mentioned,Negative,None of the above,Tech giants turn to fed agents baaaack to back. Losin pieces of your privacy baaaaack to back. #GOPdebates #MeekvsDrake,tech giant turn fed agent baaaack back losin piece privacy baaaaack back,119,19,2,0,0,0
7302,No candidate mentioned,Negative,None of the above,"The answer to the most important question of the #GOPDebate is yes, Joe Flacco is, in fact, an elite quarterback. #RavensNation",answer impoant question yes joe flacco fact elite quaerback,127,21,2,0,0,0
10397,No candidate mentioned,Negative,None of the above,It's hard to pick one I dislike the most. #GOPdebates #clowncar Dems gonna kept the White House,hard pick one dislike dems gon kept white house,95,17,2,0,0,0
5216,No candidate mentioned,Negative,None of the above,The GOP candidates were grilled.  Hard.  Expecting softballs on the Dem side #GOPDebate #tcot #ccot #ycot http://t.co/lU2h8mspy9,gop candidate grilled hard expecting softball dem side,128,17,4,0,1,0
4389,No candidate mentioned,Negative,None of the above,Because EVERYTHING he says is a lie. #tcot #GOPDebate #p2 https://t.co/snDQwf6cLC,everything say lie,81,11,3,0,1,0
858,No candidate mentioned,Negative,None of the above,"RT @marcorubio: This election better be about the future, not the past. #GOPDebate",election better future past,82,13,1,1,0,1
9650,No candidate mentioned,Negative,None of the above,"RT @RWSurferGirl: I'd really like to see how long each candidate was given to speak.  It didn't seem ""Fair &amp; Balanced"" at all. 🇺🇸 #GOPDebat…",really like see long candidate given speak didnt seem fair amp balanced,144,25,1,1,0,1
3611,Scott Walker,Negative,None of the above,"RT @TruthTeamOne: The big winner of the #GOPDebate wasn't Scott Walker, it was Johnny Walker. http://t.co/QZOApiEkCy",big winner wasnt scott walker johnny walker,116,16,1,1,1,1
12974,No candidate mentioned,Negative,None of the above,"so wait he said he didn't use it and now says ""when I used it?"" #bankruptcy #GOPDebates",wait said didnt use say used,87,17,2,0,0,0
11407,No candidate mentioned,Negative,FOX News or Moderators,"RT @SupermanHotMale: Hey Chris Wallace, These guys have a better plan than President Obama? Make the popcorn kids, this is going to be stup…",hey chris wallace guy better plan president obama make popcorn kid going stup…,140,24,0,1,0,1
12203,Jeb Bush,Negative,None of the above,RT @RWSurferGirl: Jeb Bush reminds me of elevator music. You hear it but you don't listen. 🇺🇸 #GOPDebate  #GOPDebates,jeb bush reminds elevator music hear dont listen,117,19,2,1,0,1
940,John Kasich,Negative,None of the above,John Kasich seems like a decent guy. Pity he's a republican. #GOPDebate,john kasich seems like decent guy pity he republican,71,12,1,0,0,0
11167,Ben Carson,Negative,None of the above,#GOPDebates Ben Carson take my advice and try to be the surgeon general,ben carson take advice try surgeon general,71,13,1,0,0,0
5801,No candidate mentioned,Negative,None of the above,Seriously couldn't look at a single candidate on stage and see them as our president. #GOPDebate,seriously couldnt look single candidate stage see president,96,16,1,0,0,0
1372,Rand Paul,Negative,None of the above,#RandPaul Gets Less Than Half the Time of ‘#TheDonald’ During #GOPDebate:  http://t.co/pQeDCJOVWw  #RandPaul2016 http://t.co/FUwGuV5CQF,get less half time,135,14,4,0,1,0
13677,Jeb Bush,Negative,FOX News or Moderators,RT @RWSurferGirl: Fox is cherry picking the candidates. Jeb gets the softball questions. 🇺🇸 #GOPDebates  #GOPDebates,fox cherry picking candidate jeb get softball question,116,16,2,1,0,1
8409,No candidate mentioned,Negative,FOX News or Moderators,"RT @SupermanHotMale: This is why I don't watch Fox News, they're all assholes #GopDebates",dont watch fox news theyre asshole,89,14,1,1,0,1
11098,No candidate mentioned,Negative,FOX News or Moderators,RT @RWSurferGirl: Why doesn't Chris Wallace ask the other politicans about their finances and where their money comes from? 🇺🇸 #GOPDebate  …,doesnt chris wallace ask politicans finance money come,140,22,1,1,0,1
2852,Ben Carson,Negative,None of the above,Advice to #GOP candidates in order of how I think they finished 3rd place Ben Carson you'rve been noticed flesh it out  #gopdebate #tcot #p2,advice candidate order think finished place ben carson yourve noticed flesh,140,25,4,0,0,0
2744,Donald Trump,Negative,Immigration,"Trump wants a ""big beautiful door"" in a wall for immigration. This door is on his fly. #GOPDebate #Wives",trump want big beautiful door wall immigration door fly,104,19,2,0,0,0
2378,Donald Trump,Negative,Immigration,Illegal immigration has been talked about before @realDonaldTrump started speaking of it. #arrogant #ignorant #GOPDebate,illegal immigration talked staed speaking,120,15,3,1,0,0
13683,Donald Trump,Negative,None of the above,RT @joeynovick: #GOPDebate #DonaldTrump #gopdebates #Jeb2016 #TedCruz2016 #ChrisChristie #Christie2016 this debate is like the movie Hunger…,debate like movie hunger…,140,16,7,1,0,1
9582,Jeb Bush,Negative,None of the above,RT @RWSurferGirl: Jeb Bush reminds me of elevator music. You hear it but you don't listen. 🇺🇸 #GOPDebate  #GOPDebates,jeb bush reminds elevator music hear dont listen,117,19,2,1,0,1
4418,No candidate mentioned,Negative,None of the above,"Foreign policy, health care, new constituencies, blah, blah, blah - WHAT ABOUT BLUE BELL ICE CREAM?! #GOPdebate  #priorities @ILoveBlueBell",foreign policy health care new constituency blah blah blah blue bell ice cream,139,19,2,1,0,0
13162,Chris Christie,Negative,None of the above,RT @RWSurferGirl: After @GovChristie hugged Obama he doesn't deserve to be on the stage tonight. 🇺🇸 #GOPDebates  #GOPDebates,hugged obama doesnt deserve stage tonight,124,18,2,2,0,1
19,No candidate mentioned,Negative,None of the above,reason comment is funny 'in case you're ignorant' is the #gop #tcot are the reason the government isn't working for the people #gopdebate,reason comment funny case youre ignorant reason government isnt working people,137,23,3,0,0,0
10739,No candidate mentioned,Negative,FOX News or Moderators,"RT @RWSurferGirl: It is very disappointing that Fox News is not conducting a ""Fair &amp; Balanced"" Debate. 🇺🇸 #GOPDebate  #GOPDebates",disappointing fox news conducting fair amp balanced debate,133,20,2,1,0,1
416,No candidate mentioned,Negative,None of the above,"#GOPDebate none of the presidential candidates brought a fucking gom jabbar, i mean at least liven up your crazy",none presidential candidate brought fucking gom jabbar mean least liven crazy,112,19,1,0,0,0
2358,No candidate mentioned,Negative,None of the above,"#GOPDebate was very, how can I put this politely, macho? People who argue about penis size generally have small ones. http://t.co/010sKWrzqR",put politely macho people argue penis size generally small one,140,21,1,0,1,0
