id,candidate,candidate_confidence,relevant_yn,relevant_yn_confidence,sentiment,sentiment_confidence,subject_matter,subject_matter_confidence,candidate_gold,name,relevant_yn_gold,retweet_count,sentiment_gold,subject_matter_gold,text,tweet_coord,tweet_created,tweet_id,tweet_location,user_timezone,original_text,text_length,word_count,hashtag_count,mention_count,contains_url,is_retweet,processed_text,processed_length,processed_word_count,tweet_datetime,tweet_hour,tweet_day,tweet_month,tweet_year,tweet_dayofweek,tweet_is_weekend
2800,No candidate mentioned,1.0,yes,1.0,Negative,1.0,None of the above,1.0,,JWesWilliams,,41,,,RT @bourgeoisalien: When are they going to have the swimsuit competition? #GOPDebate,,2015-08-07 09:26:29 -0700,629690082631364608,"Dallas, Texas",Central Time (US & Canada),RT @bourgeoisalien: When are they going to have the swimsuit competition? #GOPDebate,84,12,1,1,0,1,going swimsuit competition,26,3,2015-08-07 09:26:29-07:00,9,7,8,2015,4,0
1236,No candidate mentioned,1.0,yes,1.0,Negative,0.6629,None of the above,1.0,,SeaBassThePhish,,0,,,Can we stop making sweeping statements about other candidates policies. There are no absolutes #GOPDebate,,2015-08-07 09:43:35 -0700,629694384213229568,,Eastern Time (US & Canada),Can we stop making sweeping statements about other candidates policies. There are no absolutes #GOPDebate,105,15,1,0,0,0,stop making sweeping statement candidate policy absolute,56,7,2015-08-07 09:43:35-07:00,9,7,8,2015,4,0
12506,No candidate mentioned,1.0,yes,1.0,Negative,1.0,Foreign Policy,1.0,,Tajalithaca,,0,,,Ignore the fact that our Allies negotiated the Iran deal with us. Why not just bomb them?  #GOPDebates,,2015-08-06 19:20:14 -0700,629477117521170432,,Central Time (US & Canada),Ignore the fact that our Allies negotiated the Iran deal with us. Why not just bomb them?  #GOPDebates,102,18,1,0,0,0,ignore fact ally negotiated iran deal bomb,42,7,2015-08-06 19:20:14-07:00,19,6,8,2015,3,0
7433,Donald Trump,1.0,yes,1.0,Negative,1.0,None of the above,0.6572,,rousejoe,,0,,,"The fact that people are saying @realDonaldTrump ""won"" the first ""#GOPDebate"" speaks volumes for the GOP's chances in 2016.",,2015-08-07 08:05:11 -0700,629669624615993344,"Cincinnati, Ohio, USA",Eastern Time (US & Canada),"The fact that people are saying @realDonaldTrump ""won"" the first ""#GOPDebate"" speaks volumes for the GOP's chances in 2016.",123,19,1,1,0,0,fact people saying first speaks volume gop chance,49,8,2015-08-07 08:05:11-07:00,8,7,8,2015,4,0
6768,Donald Trump,0.4162,yes,0.6452,Negative,0.6452,FOX News or Moderators,0.4162,,NunnyFB,,0,,,#FOX slurped so hard on #GOP establishments slurpy they got brain freeze. #AVN has offered #MegynKelly an award @realDonaldTrump #GOPdebate,,2015-08-07 08:15:22 -0700,629672187419451392,,,#FOX slurped so hard on #GOP establishments slurpy they got brain freeze. #AVN has offered #MegynKelly an award @realDonaldTrump #GOPdebate,139,20,5,1,0,0,slurped hard establishment slurpy got brain freeze offered award,64,9,2015-08-07 08:15:22-07:00,8,7,8,2015,4,0
13424,No candidate mentioned,1.0,yes,1.0,Negative,1.0,Jobs and Economy,1.0,,M_Haley,,0,,,None of these candidates seem to realize the IRS doesn't make the tax laws. They just collect the money. #GOPDebates,,2015-08-06 19:04:46 -0700,629473226066935808,Up east.,Eastern Time (US & Canada),None of these candidates seem to realize the IRS doesn't make the tax laws. They just collect the money. #GOPDebates,116,20,1,0,0,0,none candidate seem realize irs doesnt make tax law collect money,65,11,2015-08-06 19:04:46-07:00,19,6,8,2015,3,0
11510,Ted Cruz,0.6667,yes,1.0,Negative,0.6667,FOX News or Moderators,0.6667,,Accolaidia,,0,,,@DebsSay @FoxNews @Ted I noticed too! #GOPDebate  #GOPDebates they keep starting with Bush GRR,,2015-08-06 19:35:39 -0700,629480995251589120,,,@DebsSay @FoxNews @Ted I noticed too! #GOPDebate  #GOPDebates they keep starting with Bush GRR,94,14,2,3,0,0,noticed keep staing bush grr,28,5,2015-08-06 19:35:39-07:00,19,6,8,2015,3,0
7191,Donald Trump,1.0,yes,1.0,Negative,0.6868,Women's Issues (not abortion though),1.0,,michaeljkranz,,0,,,Watching @megynkelly ask Trump about the sexist stuff again and that couldn't have been easy. While the crowd roars its misogyny. #GOPDebate,,2015-08-07 08:09:01 -0700,629670589452681216,brooklyn,Eastern Time (US & Canada),Watching @megynkelly ask Trump about the sexist stuff again and that couldn't have been easy. While the crowd roars its misogyny. #GOPDebate,140,22,1,1,0,0,watching ask trump sexist stuff couldnt easy crowd roar misogyny,64,10,2015-08-07 08:09:01-07:00,8,7,8,2015,4,0
12616,No candidate mentioned,0.4351,yes,0.6596,Negative,0.6596,FOX News or Moderators,0.4351,,tbrunt4,,155,,,RT @RWSurferGirl: Fox News is obviously trying to influence the makeup of the Republican field. 🇺🇸  #GOPDebate  #GOPDebates,,2015-08-06 19:18:39 -0700,629476719011852293,"18.343966,-64.946969",Atlantic Time (Canada),RT @RWSurferGirl: Fox News is obviously trying to influence the makeup of the Republican field. 🇺🇸  #GOPDebate  #GOPDebates,123,18,2,1,0,1,fox news obviously trying influence makeup republican field,59,8,2015-08-06 19:18:39-07:00,19,6,8,2015,3,0
6219,No candidate mentioned,1.0,yes,1.0,Negative,1.0,FOX News or Moderators,0.6629,,pacsgirl36,,0,,,@kilmeade boy I thought I could #tunein 2Brian 4 fair analysis  fair debate ??we have a country facing hard times #KellyFailed  #GOPDebate,,2015-08-07 08:23:22 -0700,629674200840699904,"New York, USA",Eastern Time (US & Canada),@kilmeade boy I thought I could #tunein 2Brian 4 fair analysis  fair debate ??we have a country facing hard times #KellyFailed  #GOPDebate,138,22,3,1,0,0,boy thought could brian fair analysis fair debate country facing hard time,74,12,2015-08-07 08:23:22-07:00,8,7,8,2015,4,0
9781,No candidate mentioned,1.0,yes,1.0,Negative,1.0,FOX News or Moderators,1.0,,CordonBob,,157,,,"RT @RWSurferGirl: It is very disappointing that Fox News is not conducting a ""Fair &amp; Balanced"" Debate. 🇺🇸 #GOPDebate  #GOPDebates",,2015-08-06 20:11:46 -0700,629490085206065152,,,"RT @RWSurferGirl: It is very disappointing that Fox News is not conducting a ""Fair &amp; Balanced"" Debate. 🇺🇸 #GOPDebate  #GOPDebates",133,20,2,1,0,1,disappointing fox news conducting fair amp balanced debate,58,8,2015-08-06 20:11:46-07:00,20,6,8,2015,3,0
8942,Donald Trump,1.0,yes,1.0,Negative,0.7126,Women's Issues (not abortion though),0.7126,,signalhz,,3,,,RT @Chic4USA: Aaaand #megynfail brings in DNC chair to take down Trump thru women's rights. My gender once again used as fear tool. Ugh #GO…,,2015-08-06 21:23:42 -0700,629508189801811968,,Eastern Time (US & Canada),RT @Chic4USA: Aaaand #megynfail brings in DNC chair to take down Trump thru women's rights. My gender once again used as fear tool. Ugh #GO…,140,25,2,1,0,1,aaaand brings dnc chair take trump thru womens right gender used fear tool ugh,78,14,2015-08-06 21:23:42-07:00,21,6,8,2015,3,0
11062,No candidate mentioned,1.0,yes,1.0,Negative,0.6588,FOX News or Moderators,1.0,,TerrenTooDope,,3,,,RT @SupermanHotMale: These fox news debates are no more than comedy at the laugh store... it's all for fun. #GopDebates,,2015-08-06 19:43:52 -0700,629483063089696768,In The Stars✨,,RT @SupermanHotMale: These fox news debates are no more than comedy at the laugh store... it's all for fun. #GopDebates,119,20,1,1,0,1,fox news debate comedy laugh store fun,38,7,2015-08-06 19:43:52-07:00,19,6,8,2015,3,0
4128,No candidate mentioned,0.4265,yes,0.6531,Negative,0.6531,Women's Issues (not abortion though),0.4265,,Utahfirebrand,,1,,,"RT @MsLabuski: #Toughchoices for today's conservative woman: am I a fat pig, an incubator, or just irrelevant? #GOPDebate #GOPmisogyny #bri…",,2015-08-07 09:10:45 -0700,629686123627843584,"Salt Lake City, UT",,"RT @MsLabuski: #Toughchoices for today's conservative woman: am I a fat pig, an incubator, or just irrelevant? #GOPDebate #GOPmisogyny #bri…",140,20,4,1,0,1,today conservative woman fat pig incubator irrelevant,53,7,2015-08-07 09:10:45-07:00,9,7,8,2015,4,0
2415,No candidate mentioned,1.0,yes,1.0,Negative,1.0,FOX News or Moderators,0.6786,,AngelaTN777,,13,,,RT @kc5lei: My opinion of #MeganKelly has really plumbed during #GOPDebate - I expected her to be a neutral moderator. I was dissappointed.,,2015-08-07 09:30:56 -0700,629691201109667840,"Nashville, TN",Central Time (US & Canada),RT @kc5lei: My opinion of #MeganKelly has really plumbed during #GOPDebate - I expected her to be a neutral moderator. I was dissappointed.,139,23,2,1,0,1,opinion really plumbed expected neutral moderator dissappointed,63,7,2015-08-07 09:30:56-07:00,9,7,8,2015,4,0
12652,No candidate mentioned,1.0,yes,1.0,Negative,1.0,None of the above,0.6722,,tjackson_2014,,23,,,"RT @MarkDavis: #Perry, #Fiorina clips on #IranDeal are better than most answers being given in this debate #GOPDebates",,2015-08-06 19:18:02 -0700,629476565076672513,"Paris, TX",Mountain Time (US & Canada),"RT @MarkDavis: #Perry, #Fiorina clips on #IranDeal are better than most answers being given in this debate #GOPDebates",118,18,4,1,0,1,clip better answer given debate,31,5,2015-08-06 19:18:02-07:00,19,6,8,2015,3,0
7079,No candidate mentioned,0.4274,yes,0.6538,Negative,0.3279,None of the above,0.4274,,merentia74,,0,,,The closed captioning for the #GOPDebate was the best part http://t.co/D0ndRMOa91 http://t.co/8JZ2U7VT5O,,2015-08-07 08:10:44 -0700,629671020258045952,"Cape Town, South Africa",,The closed captioning for the #GOPDebate was the best part http://t.co/D0ndRMOa91 http://t.co/8JZ2U7VT5O,104,12,1,0,1,0,closed captioning best,22,3,2015-08-07 08:10:44-07:00,8,7,8,2015,4,0
1562,No candidate mentioned,0.4529999999999999,yes,0.6731,Negative,0.6731,None of the above,0.4529999999999999,,freestyldesign,,0,,,Conservatives CANT POSSIBLY Support a Candidate that DONATED TO HILLARY- EVER-this is ASININE #tcot #ccot #GOPDebate #RedNationRising #PJNET,,2015-08-07 09:40:03 -0700,629693497579188224,Seattle WA USA,Pacific Time (US & Canada),Conservatives CANT POSSIBLY Support a Candidate that DONATED TO HILLARY- EVER-this is ASININE #tcot #ccot #GOPDebate #RedNationRising #PJNET,140,18,5,0,0,0,conservative cant possibly suppo candidate donated hillary everthis asinine,75,9,2015-08-07 09:40:03-07:00,9,7,8,2015,4,0
6241,No candidate mentioned,1.0,yes,1.0,Negative,1.0,None of the above,1.0,,rapturebus,,0,,,"you can't fucking leave the school curriculum to be decided by the states, the south will abolish biology lmfao #GOPDebate",,2015-08-07 08:23:06 -0700,629674130586136576,,Zagreb,"you can't fucking leave the school curriculum to be decided by the states, the south will abolish biology lmfao #GOPDebate",122,20,1,0,0,0,cant fucking leave school curriculum decided state south abolish biology lmfao,78,11,2015-08-07 08:23:06-07:00,8,7,8,2015,4,0
9451,Jeb Bush,0.4102,yes,0.6404,Negative,0.6404,None of the above,0.4102,,Ic206Bones,,18,,,"RT @SupermanHotMale: I lived here in Florida for 8 years under Jeb w bush and I swear, no more... #GopDebates",,2015-08-06 20:25:52 -0700,629493635151753216,,America/Detroit,"RT @SupermanHotMale: I lived here in Florida for 8 years under Jeb w bush and I swear, no more... #GopDebates",109,20,1,1,0,1,lived florida year jeb bush swear,33,6,2015-08-06 20:25:52-07:00,20,6,8,2015,3,0
5230,No candidate mentioned,0.6752,yes,1.0,Negative,1.0,None of the above,0.6752,,StevanMiller2,,35,,,"RT @PaulProvenza: ""To honor the people that died"".You mean the ones your brother sent there with a lie? Just wanna be sure those are the sa…",,2015-08-07 08:38:22 -0700,629677974040633344,,,"RT @PaulProvenza: ""To honor the people that died"".You mean the ones your brother sent there with a lie? Just wanna be sure those are the sa…",140,26,0,1,0,1,honor people diedyou mean one brother sent lie wan sure sa…,59,11,2015-08-07 08:38:22-07:00,8,7,8,2015,4,0
10709,Ted Cruz,1.0,yes,1.0,Negative,1.0,None of the above,1.0,,BobbyNamdar,,0,,,"No one cares about your daddy issues, Cruz #GOPDebates",,2015-08-06 19:50:59 -0700,629484855940771840,"Long Island, NY • Boston, MA",Eastern Time (US & Canada),"No one cares about your daddy issues, Cruz #GOPDebates",54,9,1,0,0,0,one care daddy issue cruz,25,5,2015-08-06 19:50:59-07:00,19,6,8,2015,3,0
3017,Marco Rubio,0.4257,yes,0.6525,Negative,0.6525,None of the above,0.4257,,JulietteIsabell,,10,,,RT @JohnGGalt: Marco Rubio is like a little boy compared to the others—talks an extra sentence after bell shows his balls have yet to drop!…,,2015-08-07 09:24:07 -0700,629689488499978240,"Greenwich, CT. ",Eastern Time (US & Canada),RT @JohnGGalt: Marco Rubio is like a little boy compared to the others—talks an extra sentence after bell shows his balls have yet to drop!…,140,25,0,1,0,1,marco rubio like little boy compared others—talks extra sentence bell show ball yet drop…,89,14,2015-08-07 09:24:07-07:00,9,7,8,2015,4,0
1811,No candidate mentioned,1.0,yes,1.0,Negative,1.0,None of the above,0.6522,,laprofe63,,1,,,#WishfulThinking! #GOPDebate showed quite plainly how NOT prepared any of those men (+1 woman) are 2 lead nation. https://t.co/VemeQVlmvI,,2015-08-07 09:37:20 -0700,629692814977150976,Chicagoland #USA via #NYC ,Central Time (US & Canada),#WishfulThinking! #GOPDebate showed quite plainly how NOT prepared any of those men (+1 woman) are 2 lead nation. https://t.co/VemeQVlmvI,137,19,2,0,1,0,showed quite plainly prepared men woman lead nation,51,8,2015-08-07 09:37:20-07:00,9,7,8,2015,4,0
4926,No candidate mentioned,0.6859999999999999,yes,1.0,Negative,0.6628,None of the above,1.0,,johnb631,,0,,,"@ltmd11 yes! Watching both #GOPDebate with you was def fun.. #GOP has a deep field, but have to start cutting down on number of candidates..",,2015-08-07 08:43:05 -0700,629679159124602880,#PoliceLivesMatter,Eastern Time (US & Canada),"@ltmd11 yes! Watching both #GOPDebate with you was def fun.. #GOP has a deep field, but have to start cutting down on number of candidates..",140,25,2,1,0,0,yes watching def fun deep field sta cutting number candidate,60,10,2015-08-07 08:43:05-07:00,8,7,8,2015,4,0
8649,No candidate mentioned,1.0,yes,1.0,Negative,1.0,FOX News or Moderators,1.0,,OtterMtn,,157,,,"RT @RWSurferGirl: It is very disappointing that Fox News is not conducting a ""Fair &amp; Balanced"" Debate. 🇺🇸 #GOPDebate  #GOPDebates",,2015-08-06 23:00:40 -0700,629532589037092864,"Lynchburg, Virginia, USA",,"RT @RWSurferGirl: It is very disappointing that Fox News is not conducting a ""Fair &amp; Balanced"" Debate. 🇺🇸 #GOPDebate  #GOPDebates",133,20,2,1,0,1,disappointing fox news conducting fair amp balanced debate,58,8,2015-08-06 23:00:40-07:00,23,6,8,2015,3,0
13093,No candidate mentioned,1.0,yes,1.0,Negative,0.6932,FOX News or Moderators,1.0,,SwayzeGuy,,1,,,"Some of these guys are nailing it, unfortunately @megynkelly put herself at the center of tomorrow's headlines. Pathetic. #GOPDebates",,2015-08-06 19:10:30 -0700,629474665627410432,Florida,Eastern Time (US & Canada),"Some of these guys are nailing it, unfortunately @megynkelly put herself at the center of tomorrow's headlines. Pathetic. #GOPDebates",133,19,1,1,0,0,guy nailing unfounately put center tomorrow headline pathetic,61,8,2015-08-06 19:10:30-07:00,19,6,8,2015,3,0
4323,No candidate mentioned,1.0,yes,1.0,Negative,0.6824,FOX News or Moderators,1.0,,fitnessfor8life,,1,,,RT @danamlancaster: Big fail last night for the digital arm of @FoxNews. http://t.co/k2c6axrECL #GOPDebate,,2015-08-07 09:08:18 -0700,629685506331267072,,,RT @danamlancaster: Big fail last night for the digital arm of @FoxNews. http://t.co/k2c6axrECL #GOPDebate,106,14,1,2,1,1,big fail last night digital arm,31,6,2015-08-07 09:08:18-07:00,9,7,8,2015,4,0
11885,Donald Trump,1.0,yes,1.0,Negative,1.0,FOX News or Moderators,0.6703,,jjauthor,,134,,,RT @RWSurferGirl: The candidates don't have to attack @realDonaldTrump Fox is doing it for them by stoping him from speaking. 🇺🇸 #GOPDebate…,,2015-08-06 19:29:45 -0700,629479512426721281,"Nevada, USA",Pacific Time (US & Canada),RT @RWSurferGirl: The candidates don't have to attack @realDonaldTrump Fox is doing it for them by stoping him from speaking. 🇺🇸 #GOPDebate…,140,22,1,2,0,1,candidate dont attack fox stoping speaking,42,6,2015-08-06 19:29:45-07:00,19,6,8,2015,3,0
5282,No candidate mentioned,1.0,yes,1.0,Negative,1.0,None of the above,1.0,,CaileenCrecco,,0,,,The clear winner of the #GOPDebate is anyone who didn't watch it.,,2015-08-07 08:37:31 -0700,629677761267957760,Chicago,,The clear winner of the #GOPDebate is anyone who didn't watch it.,65,12,1,0,0,0,clear winner anyone didnt watch,31,5,2015-08-07 08:37:31-07:00,8,7,8,2015,4,0
55,No candidate mentioned,1.0,yes,1.0,Negative,0.6957,FOX News or Moderators,1.0,,realmojesse5372,,5,,,"RT @ChuckNellis: I won't defend @FoxNews, they were FAR from fair OR balanced last night, but name calling is juvenile. #GOPDebate",,2015-08-07 09:54:26 -0700,629697115887828992,"Houston, TX",Central Time (US & Canada),"RT @ChuckNellis: I won't defend @FoxNews, they were FAR from fair OR balanced last night, but name calling is juvenile. #GOPDebate",130,21,1,2,0,1,wont defend far fair balanced last night name calling juvenile,62,10,2015-08-07 09:54:26-07:00,9,7,8,2015,4,0
8899,No candidate mentioned,1.0,yes,1.0,Negative,1.0,FOX News or Moderators,1.0,,feehily_diane,,142,,,RT @RWSurferGirl: We the American people pick the next President of United States not FOX News 🇺🇸 #GOPDebate  #GOPDebates,,2015-08-06 21:34:35 -0700,629510927575027712,,Eastern Time (US & Canada),RT @RWSurferGirl: We the American people pick the next President of United States not FOX News 🇺🇸 #GOPDebate  #GOPDebates,121,19,2,1,0,1,american people pick next president united state fox news,57,9,2015-08-06 21:34:35-07:00,21,6,8,2015,3,0
10309,Scott Walker,1.0,yes,1.0,Negative,0.7197,Religion,0.6442,,Local1Paula,,9,,,RT @NateMJensen: Walker: God is cutting the UW budget. Talk to him. #GOPdebates,,2015-08-06 19:57:22 -0700,629486461277048832,"Macomb County, MI",,RT @NateMJensen: Walker: God is cutting the UW budget. Talk to him. #GOPdebates,79,13,1,1,0,1,walker god cutting budget talk,30,5,2015-08-06 19:57:22-07:00,19,6,8,2015,3,0
3304,No candidate mentioned,1.0,yes,1.0,Negative,1.0,None of the above,1.0,,kris24morris,,1,,,RT @JoshuaACNewman: I notice the #GOPDebate is at an hour when anyone with a job can’t see the trial-by-feces event take place. Only the re…,,2015-08-07 09:20:31 -0700,629688583213969408,"Arlington, VA",Eastern Time (US & Canada),RT @JoshuaACNewman: I notice the #GOPDebate is at an hour when anyone with a job can’t see the trial-by-feces event take place. Only the re…,140,25,1,1,0,1,notice hour anyone job see trialbyfeces event take place re…,60,10,2015-08-07 09:20:31-07:00,9,7,8,2015,4,0
11714,No candidate mentioned,0.4025,yes,0.6344,Negative,0.6344,Gun Control,0.4025,,AnyhooT2,,0,,,Hmm which chapter in the bible says we should all have guns? #GOPDebates,,2015-08-06 19:32:00 -0700,629480079802953728,"ÜT: 18.010462,-76.797232",Central Time (US & Canada),Hmm which chapter in the bible says we should all have guns? #GOPDebates,72,13,1,0,0,0,hmm chapter bible say gun,25,5,2015-08-06 19:32:00-07:00,19,6,8,2015,3,0
11548,Jeb Bush,1.0,yes,1.0,Negative,0.7,FOX News or Moderators,1.0,,graceslick77,,3,,,"RT @PuestoLoco: .@dccc @PPFA
Cancel the primaries. Fox Party set up &amp; anointed their man Jeb Bush
#GOPDebates #CantTrustABush http://t.co/b…",,2015-08-06 19:35:00 -0700,629480835104796672,,Central Time (US & Canada),"RT @PuestoLoco: .@dccc @PPFA
Cancel the primaries. Fox Party set up &amp; anointed their man Jeb Bush
#GOPDebates #CantTrustABush http://t.co/b…",144,20,2,3,1,1,cancel primary fox pay set amp anointed man jeb bush,52,10,2015-08-06 19:35:00-07:00,19,6,8,2015,3,0
11662,Jeb Bush,1.0,yes,1.0,Negative,1.0,FOX News or Moderators,1.0,,MustangSally47,,153,,,RT @RWSurferGirl: Fox is cherry picking the candidates. Jeb gets the softball questions. 🇺🇸 #GOPDebates  #GOPDebates,,2015-08-06 19:33:02 -0700,629480337970573312,USA,,RT @RWSurferGirl: Fox is cherry picking the candidates. Jeb gets the softball questions. 🇺🇸 #GOPDebates  #GOPDebates,116,16,2,1,0,1,fox cherry picking candidate jeb get softball question,54,8,2015-08-06 19:33:02-07:00,19,6,8,2015,3,0
13455,Jeb Bush,1.0,yes,1.0,Negative,0.7033,None of the above,1.0,,Perry_T,,0,,,Bush says Obama didn't fix his brothers mess well enough.  #GOPDebates,,2015-08-06 19:04:04 -0700,629473047955787776,,Mid-Atlantic,Bush says Obama didn't fix his brothers mess well enough.  #GOPDebates,70,11,1,0,0,0,bush say obama didnt fix brother mess well enough,49,9,2015-08-06 19:04:04-07:00,19,6,8,2015,3,0
30,No candidate mentioned,0.405,yes,0.6364,Negative,0.3295,None of the above,0.405,,outlawjoZ,,4965,,,RT @HillaryClinton: Watch the #GOPdebate? Bet you feel like donating to a Democrat right about now. http://t.co/pGlQCqQgOP http://t.co/QP1e…,,2015-08-07 09:54:37 -0700,629697161274478592,EveryWhere,Eastern Time (US & Canada),RT @HillaryClinton: Watch the #GOPdebate? Bet you feel like donating to a Democrat right about now. http://t.co/pGlQCqQgOP http://t.co/QP1e…,140,18,1,1,1,1,watch bet feel like donating democrat right,43,7,2015-08-07 09:54:37-07:00,9,7,8,2015,4,0
